"主管機關","地區","熱點名稱","地址","緯度","經度"
"行政院環境保護署","臺北市","行政院環境保護署會客室","100臺北市中正區中華路一段83號1樓","25.0385150","121.5076440"
"行政院環境保護署","臺北市","行政院環境保護署記者室","100臺北市中正區中華路一段83號3樓","25.0385150","121.5076440"
"行政院環境保護署","臺北市","行政院環境保護署會議室","100臺北市中正區中華路一段83號4樓","25.0385150","121.5076440"
"財政部","臺北市","華南商業銀行中華路分行","100臺北市中正區中華路二段59號","25.0347806","121.5062614"
"交通部","臺北市","交通通信傳播大樓1樓服務台","100臺北市中正區仁愛路一段50號","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓10樓","100臺北市中正區仁愛路一段50號10樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓11樓","100臺北市中正區仁愛路一段50號11樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓12樓","100臺北市中正區仁愛路一段50號12樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓13樓","100臺北市中正區仁愛路一段50號13樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓14樓","100臺北市中正區仁愛路一段50號14樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓15樓","100臺北市中正區仁愛路一段50號15樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓16樓","100臺北市中正區仁愛路一段50號16樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓17樓","100臺北市中正區仁愛路一段50號16樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓18樓","100臺北市中正區仁愛路一段50號18樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓19樓","100臺北市中正區仁愛路一段50號19樓","25.0381135","121.5246775"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓1樓大廳","100臺北市中正區仁愛路一段50號1樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓20樓","100臺北市中正區仁愛路一段50號20樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓21樓","100臺北市中正區仁愛路一段50號21樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓2樓","100臺北市中正區仁愛路一段50號2樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓3樓","100臺北市中正區仁愛路一段50號3樓","25.0381135","121.5246775"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓7樓","100臺北市中正區仁愛路一段50號7樓","25.0381135","121.5246775"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓8樓","100臺北市中正區仁愛路一段50號8樓","25.0381135","121.5246775"
"國家通訊傳播委員會","臺北市","交通通訊傳播大樓9樓","100臺北市中正區仁愛路一段50號9樓","25.0381135","121.5246775"
"交通部","臺北市","交通通訊傳播大樓地下2樓","100臺北市中正區仁愛路一段50號地下2樓","25.0381280","121.5246520"
"金融監督管理委員會","臺北市","上海商銀仁愛分行","100臺北市中正區仁愛路二段16號","25.0380532","121.5262369"
"財政部","臺北市","臺灣銀行仁愛分行","100臺北市中正區仁愛路二段99號","25.0384762","121.5323707"
"交通部","臺北市","台北東門郵局","100臺北市中正區信義路二段163號","25.0340699","121.5289130"
"財政部","臺北市","華南商業銀行信義分行","100臺北市中正區信義路二段183號","25.0339790","121.5294340"
"交通部","臺北市","台北南陽郵局","100臺北市中正區信陽街8號","25.0445958","121.5159941"
"衛生福利部","臺北市","中央健康保險署-臺北業務組公保大樓5樓聯合服務中心","100臺北市中正區公園路15-1號1樓","25.0446778","121.5174892"
"交通部","臺北市","交通部中央氣象局1樓大廳","100臺北市中正區公園路64號","25.0374648","121.5149267"
"交通部","臺北市","交通部中央氣象局4樓公關室","100臺北市中正區公園路64號409室","25.0375040","121.5149050"
"財政部","臺北市","兆豐國際商銀外交部簡易分行","100臺北市中正區凱達格蘭大道2號","25.0389470","121.5163460"
"外交部","臺北市","外交部1樓會客室","100臺北市中正區凱達格蘭大道2號1樓","25.0389470","121.5163460"
"交通部","臺北市","臺灣港務股份有限公司臺北聯絡處","100臺北市中正區北平東路3號3樓3021室","25.0471240","121.5213860"
"交通部","臺北市","台北火車站郵局","100臺北市中正區北平西路3號","25.0478280","121.5173710"
"交通部","臺北市","臺鐵局臺北站R13票房","100臺北市中正區北平西路3號","25.0480130","121.5173390"
"交通部","臺北市","臺鐵局臺北站地下一樓東南角","100臺北市中正區北平西路3號","25.0479740","121.5174250"
"交通部","臺北市","臺鐵局臺北站地下三樓剪收票口(R13)","100臺北市中正區北平西路3號","25.0479740","121.5174250"
"交通部","臺北市","臺鐵局臺北站大廳東側","100臺北市中正區北平西路3號","25.0480130","121.5173390"
"交通部","臺北市","臺鐵局臺北站大廳西側","100臺北市中正區北平西路3號","25.0480130","121.5173390"
"交通部","臺北市","臺鐵局臺北站東剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.0480130","121.5173390"
"交通部","臺北市","臺鐵局臺北站西剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.0480130","121.5173390"
"交通部","臺北市","交通部臺灣鐵路管理局第9會議室","100臺北市中正區北平西路3號3樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局局第9會議室","100臺北市中正區北平西路3號3樓3081室","25.0477040","121.5173720"
"交通部","臺北市","臺鐵局行政處檔案閱覽室","100臺北市中正區北平西路3號4樓4101室","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-1","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-2","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-3","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局第1會議室-1","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局第1會議室-2","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局第2會議室","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局第3會議室","100臺北市中正區北平西路3號5樓","25.0477510","121.5173630"
"交通部","臺北市","臺鐵局秘書室新聞聯絡室","100臺北市中正區北平西路3號5樓5007室","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局局第1會議室-1","100臺北市中正區北平西路3號5樓5036室","25.0477040","121.5173720"
"交通部","臺北市","交通部臺灣鐵路管理局局第1會議室-2","100臺北市中正區北平西路3號5樓5036室","25.0477040","121.5173720"
"交通部","臺北市","臺鐵局材料處公開閱覽室","100臺北市中正區北平西路3號5樓5075室","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局局演藝廳-1","100臺北市中正區北平西路3號5樓5136室","25.0477040","121.5173720"
"交通部","臺北市","交通部臺灣鐵路管理局局演藝廳-3","100臺北市中正區北平西路3號5樓5136室","25.0477040","121.5173720"
"交通部","臺北市","交通部臺灣鐵路管理局第4會議室","100臺北市中正區北平西路3號6樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局第5會議室","100臺北市中正區北平西路3號6樓","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局文檔科檔案室","100臺北市中正區北平西路3號6樓6002室","25.0477040","121.5173720"
"交通部","臺北市","臺鐵局秘書室國會聯絡室","100臺北市中正區北平西路3號6樓6002室","25.0477510","121.5173630"
"交通部","臺北市","交通部臺灣鐵路管理局局第4會議室","100臺北市中正區北平西路3號6樓6007室","25.0477040","121.5173720"
"交通部","臺北市","交通部臺灣鐵路管理局局第5會議室","100臺北市中正區北平西路3號6樓6046室","25.0477040","121.5173720"
"內政部","臺北市","內政部警政署保安警察第六總隊1F","100臺北市中正區南昌路一段10號1樓","25.0331380","121.5157740"
"內政部","臺北市","內政部警政署保安警察第六總隊2F","100臺北市中正區南昌路一段10號2樓","25.0331380","121.5157740"
"文化部","臺北市","國立臺灣博物館南門園區小白宮展演廳","100臺北市中正區南昌路一段1號","25.0339440","121.5161170"
"文化部","臺北市","國立臺灣博物館南門園區紅樓1樓","100臺北市中正區南昌路一段1號","25.0339440","121.5161170"
"文化部","臺北市","國立臺灣博物館南門園區紅樓2樓","100臺北市中正區南昌路一段1號","25.0339440","121.5161170"
"文化部","臺北市","國立臺灣博物館南門園區行政大樓","100臺北市中正區南昌路一段1號","25.0339440","121.5161170"
"財政部","臺北市","第一商業銀行(南門分行)","100臺北市中正區南昌路一段94號","25.0306315","121.5175195"
"交通部","臺北市","台北古亭郵局","100臺北市中正區南昌路二段232號","25.0236748","121.5247112"
"文化部","臺北市","文化部-南海工作坊","100臺北市中正區南海路20號9樓","25.0325240","121.5171040"
"行政院農業委員會","臺北市","行政院農業委員會1樓記者室","100臺北市中正區南海路37號","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會2樓","100臺北市中正區南海路37號","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會10樓","100臺北市中正區南海路37號10樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會10樓辦公區","100臺北市中正區南海路37號10樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會1樓圓崗","100臺北市中正區南海路37號1樓","25.0322200","121.5131560"
"行政院農業委員會","臺北市","行政院農業委員會1樓大廳","100臺北市中正區南海路37號1樓","25.0320860","121.5131940"
"行政院農業委員會","臺北市","行政院農業委員會2樓辦公區","100臺北市中正區南海路37號2樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會3樓","100臺北市中正區南海路37號3樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會3樓辦公區","100臺北市中正區南海路37號3樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會4樓","100臺北市中正區南海路37號4樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會4樓辦公區","100臺北市中正區南海路37號4樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會5F右側","100臺北市中正區南海路37號5樓右側","25.0320860","121.5131940"
"行政院農業委員會","臺北市","行政院農業委員會5F左側","100臺北市中正區南海路37號5樓左側","25.0320860","121.5131940"
"行政院農業委員會","臺北市","行政院農業委員會6樓","100臺北市中正區南海路37號6樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會7樓","100臺北市中正區南海路37號7樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會7樓辦公區","100臺北市中正區南海路37號7樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會8樓","100臺北市中正區南海路37號8樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會8樓辦公區","100臺北市中正區南海路37號8樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會9樓","100臺北市中正區南海路37號9樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會9樓辦公區","100臺北市中正區南海路37號9樓","25.0320680","121.5132000"
"行政院農業委員會","臺北市","行政院農業委員會地下1樓圖書室","100臺北市中正區南海路37號地下1樓","25.0320680","121.5132000"
"財政部","臺北市","中國輸出入銀行總行","100臺北市中正區南海路3號8樓","25.0326640","121.5167762"
"教育部","臺北市","國立教育廣播電臺服務中心","100臺北市中正區南海路41號","25.0318695","121.5123708"
"教育部","臺北市","國立臺灣藝術教育館南海書院第2會議室","100臺北市中正區南海路43號","25.0322928","121.5120744"
"教育部","臺北市","國立臺灣藝術教育館圖書室","100臺北市中正區南海路43號","25.0323710","121.5120740"
"教育部","臺北市","國立臺灣藝術教育館南海劇場-新","100臺北市中正區南海路47號","25.0316000","121.5117000"
"文化部","臺北市","國立歷史博物館戶外廣場","100臺北市中正區南海路49號","25.0314540","121.5112270"
"行政院農業委員會","臺北市","台北植物園布政使司文物館","100臺北市中正區南海路53號","25.0312110","121.5101910"
"行政院農業委員會","臺北市","林業試驗所行政大樓","100臺北市中正區南海路53號","25.0312110","121.5101910"
"臺灣高等法院","臺北市","臺灣高等法院刑事庭大廈","100臺北市中正區博愛路127號","25.0380189","121.5112880"
"法務部","臺北市","臺灣高等法院檢察署為民服務中心","100臺北市中正區博愛路127號","25.0380480","121.5112990"
"臺灣高等法院","臺北市","臺灣臺北地方法院2樓民眾休息區","100臺北市中正區博愛路131號","25.0368760","121.5115720"
"法務部","臺北市","臺灣臺北地方法院檢察署1F民眾等候區","100臺北市中正區博愛路131號","25.0367770","121.5115750"
"交通部","臺北市","國史館郵局","100臺北市中正區博愛路168號-1","25.0391770","121.5109800"
"國防部","臺北市","台北市後備指揮部","100臺北市中正區博愛路172號","25.0377220","121.5109420"
"財政部","臺北市","臺灣土地銀行臺北分行","100臺北市中正區博愛路72號","25.0447790","121.5112837"
"財政部","臺北市","華南商業銀行城內分行","100臺北市中正區博愛路93號","25.0432620","121.5116350"
"行政院農業委員會","臺北市","行政院農業委員會林務局農林航空測量所","100臺北市中正區和平西路二段100號1樓","25.0301660","121.5093980"
"行政院農業委員會","臺北市","漁業署和平大樓4樓會議室","100臺北市中正區和平西路二段100號4樓","25.0299310","121.5100620"
"行政院農業委員會","臺北市","漁業署和平大樓6樓圖書室","100臺北市中正區和平西路二段100號6樓","25.0299310","121.5100620"
"行政院農業委員會","臺北市","漁業署和平大樓7樓會議室","100臺北市中正區和平西路二段100號7樓","25.0299310","121.5100620"
"行政院農業委員會","臺北市","漁業署和平大樓8樓會議室","100臺北市中正區和平西路二段100號8樓","25.0299310","121.5100620"
"交通部","臺北市","台北龍口郵局","100臺北市中正區和平西路二段68號","25.0291916","121.5115604"
"經濟部","臺北市","經濟部國營事業委員會1樓大廳","100臺北市中正區寶慶路25號","25.0414918","121.5108676"
"經濟部","臺北市","經濟部國營事業委員會4樓","100臺北市中正區寶慶路25號4樓","25.0414918","121.5108676"
"經濟部","臺北市","經濟部國營事業委員會5樓","100臺北市中正區寶慶路25號5樓","25.0414918","121.5108676"
"經濟部","臺北市","經濟部國營事業委員會6樓","100臺北市中正區寶慶路25號6樓","25.0414918","121.5108676"
"經濟部","臺北市","經濟部國營事業委員會7樓","100臺北市中正區寶慶路25號7樓","25.0414918","121.5108676"
"國家發展委員會","臺北市","國家發展委員會寶慶辦公區","100臺北市中正區寶慶路3號","25.0411790","121.5133850"
"交通部","臺北市","台北螢橋郵局","100臺北市中正區廈門街76號","25.0246327","121.5173708"
"內政部","臺北市","內政部移民署臺北市服務站(新)","100臺北市中正區廣州街15號1樓及地下1樓","25.0360290","121.5083280"
"內政部","臺北市","內政部警政署警察廣播電臺服務中心","100臺北市中正區廣州街17號","25.0360308","121.5075516"
"交通部","臺北市","台北南門郵局","100臺北市中正區廣州街2號","25.0349956","121.5100869"
"行政院主計總處","臺北市","行政院主計總處(廣博大樓)","100臺北市中正區廣州街2號","25.0349956","121.5100869"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會北區監理處服務中心","100臺北市中正區延平南路143號2樓","25.0362899","121.5081922"
"教育部","臺北市","國家圖書館藝術暨視聽資料中心","100臺北市中正區延平南路156號","25.0383720","121.5083850"
"內政部","臺北市","役政署北部辦公室","100臺北市中正區延平南路45號1樓","25.0451090","121.5105030"
"內政部","臺北市","內政部8樓會議室","100臺北市中正區徐州路5號","25.0422099","121.5194700"
"教育部","臺北市","教育部青年發展署","100臺北市中正區徐州路5號14樓","25.0422099","121.5194700"
"中央選舉委員會","臺北市","中央聯合辦公大樓南棟","100臺北市中正區徐州路5號1樓","25.0422099","121.5194700"
"僑務委員會","臺北市","僑務委員會中央聯合辦公大樓南棟","100臺北市中正區徐州路5號3樓","25.0422099","121.5194700"
"內政部","臺北市","內政部","100臺北市中正區徐州路5號3樓","25.0422099","121.5194700"
"文化部","臺北市","文化部-蒙藏文化中心","100臺北市中正區徐州路5號4樓","25.0422340","121.5194490"
"內政部","臺北市","內政部政務次長室","100臺北市中正區徐州路5號9樓","25.0424630","121.5194490"
"內政部","臺北市","內政部部長室貴賓室","100臺北市中正區徐州路5號9樓","25.0424630","121.5194490"
"交通部","臺北市","台北中聯郵局","100臺北市中正區徐州路5號地下1樓","25.0422880","121.5194590"
"行政院主計總處","臺北市","行政院主計總處(院區)","100臺北市中正區忠孝東路一段1號","25.0461266","121.5208892"
"行政院","臺北市","行政院院本部忠孝院區","100臺北市中正區忠孝東路一段1號","25.0461650","121.5208680"
"內政部","臺北市","內政部警政署","100臺北市中正區忠孝東路一段7號","25.0452613","121.5225288"
"財政部","臺北市","兆豐國際商銀金控總部分行","100臺北市中正區忠孝東路二段123號","25.0427150","121.5321910"
"財政部","臺北市","兆豐國際商業銀行企劃處10樓","100臺北市中正區忠孝東路二段123號10樓","25.0429320","121.5323110"
"財政部","臺北市","兆豐國際商業銀行債務管理處13樓","100臺北市中正區忠孝東路二段123號13樓","25.0429320","121.5323110"
"財政部","臺北市","兆豐國際商業銀行總務處4樓","100臺北市中正區忠孝東路二段123號4樓","25.0429320","121.5323110"
"財政部","臺北市","第一商業銀行(忠孝路分行)","100臺北市中正區忠孝東路二段94號","25.0428789","121.5299611"
"交通部","臺北市","台北北門郵局-1","100臺北市中正區忠孝西路一段114號","25.0472563","121.5121168"
"交通部","臺北市","台北北門郵局-2","100臺北市中正區忠孝西路一段114號","25.0472563","121.5121168"
"交通部","臺北市","台北北門郵局-3","100臺北市中正區忠孝西路一段114號","25.0472563","121.5121168"
"交通部","臺北市","台北北門郵局-4","100臺北市中正區忠孝西路一段114號","25.0472563","121.5121168"
"交通部","臺北市","台北北門郵局-5","100臺北市中正區忠孝西路一段114號","25.0472563","121.5121168"
"交通部","臺北市","台北復興橋郵局","100臺北市中正區忠孝西路一段1號","25.0459863","121.5194090"
"財政部","臺北市","財政部8樓大禮堂","100臺北市中正區愛國西路2號","25.0344250","121.5154530"
"財政部","臺北市","華南商業銀行新生分行","100臺北市中正區新生南路一段48號","25.0422674","121.5325560"
"審計部","臺北市","審計部5樓會議室","100臺北市中正區杭州北路1號","25.0448920","121.5273380"
"行政院農業委員會","臺北市","農業金融局2樓會議室","100臺北市中正區杭州南路一段15號","25.0431620","121.5267390"
"行政院農業委員會","臺北市","農業金融局3樓右側","100臺北市中正區杭州南路一段15號","25.0431620","121.5267390"
"行政院農業委員會","臺北市","農業金融局3樓會議室","100臺北市中正區杭州南路一段15號","25.0431620","121.5267390"
"行政院農業委員會","臺北市","行政院農業委員會農糧署","100臺北市中正區杭州南路一段15號6樓","25.0428670","121.5267950"
"交通部","臺北市","台北杭南郵局","100臺北市中正區杭州南路一段23號-3","25.0424074","121.5265416"
"交通部","臺北市","交通部國際會議中心1、2樓","100臺北市中正區杭州南路一段24號","25.0375759","121.5246480"
"交通部","臺北市","交通部國際會議中心3、4樓","100臺北市中正區杭州南路一段24號","25.0375759","121.5246480"
"交通部","臺北市","交通部國際會議中心5樓","100臺北市中正區杭州南路一段24號","25.0375759","121.5246480"
"交通部","臺北市","台北仁杭郵局","100臺北市中正區杭州南路一段24號1樓","25.0375759","121.5246480"
"行政院農業委員會","臺北市","林務局1樓記者室、2樓會議室、5樓會議室","100臺北市中正區杭州南路一段2號","25.0435935","121.5265252"
"行政院農業委員會","臺北市","林務局2樓大禮堂、7樓會議室","100臺北市中正區杭州南路一段2號","25.0435935","121.5265252"
"行政院農業委員會","臺北市","林務局8樓會議室","100臺北市中正區杭州南路一段2號","25.0435935","121.5265252"
"衛生福利部","臺北市","疾病管制署-疫遊館","100臺北市中正區林森南路6號1樓","25.0434340","121.5228318"
"財政部","臺北市","臺灣銀行採購部","100臺北市中正區武昌街一段45號3樓","25.0442046","121.5111993"
"國防部","臺北市","三軍總醫院汀州院區1樓門診大廳","100臺北市中正區汀州路三段40號","25.0164760","121.5298290"
"交通部","臺北市","台北汀洲郵局","100臺北市中正區汀洲路三段301號","25.0118160","121.5358871"
"經濟部","臺北市","經濟部國際貿易局2樓廠商服務區","100臺北市中正區湖口街1號","25.0331087","121.5145797"
"財政部","臺北市","財政部臺北國稅局中正分局民眾服務區","100臺北市中正區潮州街2號1樓","25.0296665","121.5209279"
"交通部","臺北市","立法院郵局","100臺北市中正區濟南路一段1號","25.0432520","121.5198947"
"行政院人事行政總處","臺北市","行政院人事行政總處","100臺北市中正區濟南路一段2-2號10樓","25.0426814","121.5201116"
"國家發展委員會","臺北市","聯合辦公大樓北棟大廳民眾洽公區","100臺北市中正區濟南路一段2-2號1樓","25.0426814","121.5201116"
"外交部","臺北市","外交部領事事務局(3樓大廳)","100臺北市中正區濟南路一段2-2號3樓","25.0426814","121.5201116"
"外交部","臺北市","外交部領事事務局(3樓詢問台)","100臺北市中正區濟南路一段2-2號3樓","25.0426814","121.5201116"
"國家發展委員會","臺北市","國家發展委員會濟南辦公區","100臺北市中正區濟南路一段2-2號6樓","25.0426814","121.5201116"
"立法院","臺北市","立法院委員研究大樓會客室","100臺北市中正區濟南路一段3-1號","25.0430320","121.5212606"
"經濟部","臺北市","標準檢驗局報驗發證業務民眾洽公區","100臺北市中正區濟南路一段4號","25.0425503","121.5204631"
"經濟部","臺北市","標準檢驗局資料中心閱覽室","100臺北市中正區濟南路一段4號","25.0425503","121.5204631"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室1樓","100臺北市中正區濟南路二段16號1樓","25.0410458","121.5277569"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室2樓","100臺北市中正區濟南路二段16號2樓","25.0410458","121.5277569"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室7樓","100臺北市中正區濟南路二段16號7樓","25.0410458","121.5277569"
"文化部","臺北市","文學館-齊東詩舍","100臺北市中正區濟南路二段27號","25.0412111","121.5284951"
"勞動部","臺北市","行政院勞動部勞工保險局國民年金業務處洽公櫃台","100臺北市中正區濟南路二段42號1樓","25.0403081","121.5304396"
"經濟部","臺北市","經濟部C203會議室","100臺北市中正區福州街15號1樓","25.0279847","121.5169523"
"經濟部","臺北市","經濟部訓練教室1樓","100臺北市中正區福州街15號1樓","25.0279847","121.5169523"
"經濟部","臺北市","經濟部訓練教室2、3樓","100臺北市中正區福州街15號2樓","25.0279847","121.5169523"
"經濟部","臺北市","經濟部簡報會議室","100臺北市中正區福州街15號A棟1樓","25.0280140","121.5169310"
"經濟部","臺北市","經濟部第二會議室","100臺北市中正區福州街15號B棟1樓","25.0280430","121.5169420"
"經濟部","臺北市","經濟部記者室","100臺北市中正區福州街15號B棟1樓","25.0280820","121.5169310"
"經濟部","臺北市","經濟部總務司開標室","100臺北市中正區福州街15號D207室","25.0279980","121.5169480"
"經濟部","臺北市","經濟部商業司民眾服務大廳","100臺北市中正區福州街15號D棟1樓","25.0280330","121.5169420"
"財政部","臺北市","兆豐國際商銀","100臺北市中正區福州街16號","25.0285843","121.5183114"
"財政部","臺北市","兆豐國際商銀福州大樓","100臺北市中正區福州街16號3樓","25.0285843","121.5183114"
"財政部","臺北市","兆豐國際商業銀行資訊處福州街大樓8樓","100臺北市中正區福州街16號8樓","25.0285843","121.5183114"
"交通部","臺北市","台北中山堂郵局","100臺北市中正區秀山街1號","25.0431219","121.5089600"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(12F)","100臺北市中正區秀山街4號12樓","25.0427870","121.5093090"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(13F)","100臺北市中正區秀山街4號13樓","25.0427870","121.5093090"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(14F)","100臺北市中正區秀山街4號14樓","25.0427870","121.5093090"
"勞動部","臺北市","勞動部北區勞動檢查所會客室","100臺北市中正區紹興北街31巷39號","25.0453625","121.5266805"
"勞動部","臺北市","行政院勞動部勞工保險局臺北市辦事處洽公櫃台","100臺北市中正區羅斯福路一段4號1樓","25.0335220","121.5172130"
"經濟部","臺北市","投審會5樓辦公區","100臺北市中正區羅斯福路一段7號5樓","25.0335475","121.5177845"
"經濟部","臺北市","投審會8樓辦公區","100臺北市中正區羅斯福路一段7號8樓","25.0335475","121.5177845"
"財政部","臺北市","華南商業銀行公館分行","100臺北市中正區羅斯福路三段216號","25.0190120","121.5290720"
"經濟部","臺北市","台電公司台電大樓主樓會客室","100臺北市中正區羅斯福路三段242號","25.0173280","121.5306960"
"經濟部","臺北市","台電公司台電大樓副樓會客室","100臺北市中正區羅斯福路三段242號","25.0173280","121.5306960"
"財政部","臺北市","兆豐國際商銀南台北分行","100臺北市中正區羅斯福路二段9-1號","25.0287880","121.5215430"
"經濟部","臺北市","中油公司台北直銷中心","100臺北市中正區莒光路2號2樓","25.0314332","121.5071469"
"財政部","臺北市","兆豐國際商銀衡陽分行","100臺北市中正區衡陽路91號","25.0422999","121.5103000"
"財政部","臺北市","兆豐國際商銀-衡陽大樓7樓之1","100臺北市中正區衡陽路91號7樓","25.0423560","121.5102940"
"財政部","臺北市","兆豐國際商銀-衡陽大樓8樓之1","100臺北市中正區衡陽路91號8樓","25.0423560","121.5102940"
